5x5.results;5x5.times;10x10.results;10x10.times;15x15.results;15x15.times
252.0;0.017839908599853516;1007.0;0.17828869819641113;2340.0;0.32709622383117676
250.0;0.019939184188842773;1003.0;0.27190399169921875;2321.0;0.43994808197021484
242.0;0.03744387626647949;1011.0;0.23139715194702148;2318.0;0.531980037689209
245.0;0.020839929580688477;996.0;0.25380706787109375;2340.0;0.9137740135192871
243.0;0.03495025634765625;1014.0;0.23898983001708984;2337.0;0.4648702144622803
245.0;0.02931523323059082;1004.0;0.21475696563720703;2339.0;0.3594498634338379
241.0;0.029086828231811523;1012.0;0.196120023727417;2348.0;0.5689239501953125
240.0;0.022439956665039062;998.0;0.17856717109680176;2349.0;0.43616795539855957
239.0;0.022348880767822266;1006.0;0.3243389129638672;2348.0;0.3859868049621582
237.0;0.03161001205444336;1003.0;0.17839312553405762;2343.0;0.31286096572875977
242.0;0.03345179557800293;1003.0;0.23236417770385742;2338.0;0.4738929271697998
242.0;0.04556894302368164;999.0;0.3823978900909424;2340.0;0.6047399044036865
246.0;0.017179012298583984;1005.0;0.26938915252685547;2344.0;0.5323178768157959
242.0;0.035420894622802734;1001.0;0.16095376014709473;2342.0;0.3489079475402832
238.0;0.026298999786376953;999.0;0.21297478675842285;2353.0;0.3863089084625244
239.0;0.03622007369995117;993.0;0.17597103118896484;2334.0;0.751035213470459
243.0;0.022006988525390625;1002.0;0.17689228057861328;2339.0;0.5674350261688232
248.0;0.021767854690551758;1002.0;0.23378801345825195;2329.0;0.42366504669189453
244.0;0.030961036682128906;998.0;0.21703720092773438;2343.0;0.49167370796203613
247.0;0.03341174125671387;1011.0;0.2146289348602295;2337.0;0.34831809997558594
243.0;0.033738136291503906;1005.0;0.3132748603820801;2345.0;0.563727855682373
246.0;0.04360675811767578;993.0;0.28571629524230957;2352.0;0.3841209411621094
246.0;0.03846001625061035;1007.0;0.26493120193481445;2336.0;0.563621997833252
237.0;0.02243208885192871;1006.0;0.24629473686218262;2327.0;0.31305909156799316
243.0;0.022623062133789062;1004.0;0.4232008457183838;2339.0;0.508314847946167
