5x5.results;5x5.times;10x10.results;10x10.times;15x15.results;15x15.times
293.0;0.2622978687286377;632.0;0.852043867111206;980.0;1.5803468227386475
294.0;0.2836122512817383;630.0;0.7317681312561035;983.0;1.56423020362854
295.0;0.2759859561920166;625.0;0.742034912109375;974.0;1.5527710914611816
295.0;0.3027169704437256;629.0;0.7571446895599365;1035.0;1.5719568729400635
293.0;0.28789329528808594;623.0;0.7361998558044434;994.0;1.5871009826660156
294.0;0.3381960391998291;630.0;0.7424321174621582;982.0;1.5532479286193848
292.0;0.44026803970336914;639.0;0.7599730491638184;971.0;1.5952892303466797
295.0;0.32915782928466797;626.0;0.7347729206085205;991.0;1.5891656875610352
299.0;0.45508503913879395;637.0;0.7507309913635254;961.0;1.5944421291351318
292.0;0.44083499908447266;621.0;1.8785860538482666;977.0;1.6025102138519287
293.0;0.25803709030151367;624.0;0.7686073780059814;996.0;1.5986900329589844
294.0;0.25436902046203613;618.0;0.8023440837860107;952.0;1.615941047668457
293.0;0.25304603576660156;626.0;0.7511880397796631;1022.0;1.6200628280639648
294.0;0.25215697288513184;621.0;0.7644340991973877;989.0;1.6248328685760498
295.0;0.25176310539245605;620.0;0.7649250030517578;980.0;1.6274821758270264
292.0;0.2817699909210205;611.0;0.7663731575012207;997.0;1.6423709392547607
296.0;0.2512829303741455;586.0;1.2388989925384521;958.0;1.6593873500823975
292.0;0.25304293632507324;623.0;0.7595667839050293;995.0;1.6551268100738525
294.0;0.25121307373046875;618.0;0.7231450080871582;954.0;1.6419141292572021
294.0;0.2803483009338379;627.0;0.7453811168670654;917.0;1.6598889827728271
294.0;0.2525780200958252;629.0;0.7203793525695801;973.0;1.614253044128418
296.0;0.2507948875427246;624.0;0.7492802143096924;992.0;1.6181609630584717
292.0;0.25356507301330566;623.0;0.7292098999023438;997.0;1.659987211227417
293.0;0.2824671268463135;642.0;0.7289111614227295;935.0;1.609896183013916
298.0;0.25169897079467773;614.0;0.7373640537261963;984.0;1.6349678039550781
293.0;0.25339484214782715;644.0;0.7195498943328857;964.0;1.620326042175293
295.0;0.28526997566223145;612.0;0.7385261058807373;985.0;1.6231842041015625
292.0;0.2542409896850586;630.0;0.7370970249176025;953.0;1.6560919284820557
296.0;0.2519221305847168;639.0;0.7171151638031006;989.0;1.6353590488433838
292.0;0.28199219703674316;612.0;0.7394359111785889;973.0;1.630873203277588
294.0;0.2526998519897461;621.0;0.7403018474578857;1007.0;1.6612260341644287
292.0;0.2521200180053711;612.0;0.7451272010803223;965.0;1.6396028995513916
291.0;0.284670352935791;610.0;0.7360081672668457;978.0;1.6164238452911377
295.0;0.2642991542816162;623.0;0.734522819519043;990.0;1.6851749420166016
297.0;0.2526261806488037;597.0;0.7318220138549805;958.0;1.643266201019287
299.0;0.28266024589538574;619.0;0.7381765842437744;1017.0;1.642608880996704
293.0;0.2522928714752197;630.0;0.738584041595459;972.0;1.6341607570648193
292.0;0.25337910652160645;606.0;0.7385141849517822;950.0;1.669929027557373
291.0;0.2828938961029053;611.0;0.7358500957489014;992.0;1.638550043106079
295.0;0.25187087059020996;603.0;0.7227451801300049;994.0;1.6366379261016846
294.0;0.281998872756958;612.0;0.7461018562316895;965.0;1.668076753616333
290.0;0.2528409957885742;629.0;0.7489008903503418;975.0;1.6312708854675293
